TIME,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,Load,year,month,day,hour,weekday,load_lag_1,load_lag_24,load_rolling_mean_24,load_rolling_std_24
2024-01-02 01:00:00,10942.11,1785.57,6196.63,1323.68,14188.06,2941.02,7058.15,1329.84,45765.06,2024,1,2,1,1,46594.65,41223.48,45439.474166666674,2430.941438936447
2024-01-02 02:00:00,10812.57,1798.18,6217.12,1313.24,14132.32,2870.03,6891.75,1322.64,45357.84,2024,1,2,2,1,45765.06,41479.4,45601.07583333333,2280.500219659897
2024-01-02 03:00:00,10760.42,1840.92,6209.98,1294.33,14258.44,2816.56,6828.46,1332.85,45341.96,2024,1,2,3,1,45357.84,41472.77,45762.292083333334,2106.0588006593257
2024-01-02 04:00:00,10866.23,1870.76,6138.48,1288.47,14438.93,2795.96,6834.45,1338.95,45572.24,2024,1,2,4,1,45341.96,41477.44,45932.908749999995,1899.5840018719707
2024-01-02 05:00:00,11170.62,1900.63,6149.67,1311.71,14882.02,2804.34,6977.68,1361.61,46558.29,2024,1,2,5,1,45572.24,42184.19,46115.16291666666,1726.2003666597739
2024-01-02 06:00:00,11743.53,2054.22,6240.95,1364.42,15769.71,2935.17,7350.22,1402.8,48861.01,2024,1,2,6,1,46558.29,43149.5,46353.142499999994,1692.951553461406
2024-01-02 07:00:00,12498.12,2162.59,6349.59,1444.52,16793.64,3078.03,7865.65,1472.87,51665.01,2024,1,2,7,1,48861.01,44467.65,46653.0325,1960.7273740613393
2024-01-02 08:00:00,12940.49,2288.03,6440.75,1497.04,17377.1,3122.74,8253.26,1531.12,53450.53,2024,1,2,8,1,51665.01,45310.82,46992.18708333333,2378.0354526912197
2024-01-02 09:00:00,13198.53,2261.65,6307.75,1485.5,17359.15,3188.09,8467.07,1532.97,53800.71,2024,1,2,9,1,53450.53,46036.22,47315.7075,2742.5499902720635
2024-01-02 10:00:00,13390.77,2184.69,6547.15,1551.76,17091.19,3272.26,8527.05,1543.94,54108.82,2024,1,2,10,1,53800.71,46495.65,47632.92291666666,3064.915195442825
2024-01-02 11:00:00,13452.06,2052.04,6497.36,1519.12,16333.29,3350.85,8531.66,1528.57,53264.97,2024,1,2,11,1,54108.82,46658.93,47908.17458333333,3263.821361253357
2024-01-02 12:00:00,13448.31,1914.87,6511.61,1460.57,15376.63,3388.38,8481.84,1512.78,52094.97,2024,1,2,12,1,53264.97,46279.24,48150.496666666666,3352.317403337402
2024-01-02 13:00:00,13315.75,1797.74,6543.95,1416.66,14761.58,3427.95,8509.96,1510.93,51284.53,2024,1,2,13,1,52094.97,45671.31,48384.38083333333,3367.605848675589
2024-01-02 14:00:00,13252.83,1680.69,6577.97,1390.96,14969.99,3449.9,8525.79,1501.6,51349.73,2024,1,2,14,1,51284.53,44589.75,48666.04666666666,3318.77208575789
2024-01-02 15:00:00,13094.92,1676.86,6576.21,1383.03,15178.54,3453.6,8524.37,1485.46,51372.99,2024,1,2,15,1,51349.73,43918.99,48976.63,3201.9397291017167
2024-01-02 16:00:00,13082.36,1663.15,6581.8,1375.01,15396.99,3464.83,8532.28,1487.19,51583.61,2024,1,2,16,1,51372.99,43782.11,49301.692500000005,3043.7601620839155
2024-01-02 17:00:00,13101.7,1732.78,6584.54,1396.02,15719.6,3543.25,8649.3,1492.81,52220.01,2024,1,2,17,1,51583.61,44363.47,49629.04833333334,2909.068262842131
2024-01-02 18:00:00,13539.68,1860.87,6470.39,1416.06,16359.19,3586.51,8934.15,1525.95,53692.81,2024,1,2,18,1,52220.01,46787.29,49916.77833333333,2956.8876176607273
2024-01-02 19:00:00,13621.87,1895.98,6376.39,1433.34,16520.94,3745.09,9059.96,1542.1,54195.66,2024,1,2,19,1,53692.81,48887.94,50137.93333333334,3072.8101570169665
2024-01-02 20:00:00,13471.65,1863.84,6481.62,1425.97,16299.13,3723.15,8941.5,1549.36,53756.22,2024,1,2,20,1,54195.66,49122.19,50331.017916666664,3150.8124289500115
2024-01-02 21:00:00,13175.86,1854.33,6238.62,1312.03,15911.69,3650.48,8732.78,1537.94,52413.72,2024,1,2,21,1,53756.22,49255.31,50462.61833333334,3169.831215570596
2024-01-02 22:00:00,12822.87,1854.17,6153.27,1293.95,15408.08,3496.35,8443.2,1484.37,50956.26,2024,1,2,22,1,52413.72,48927.28,50547.15916666667,3154.120666731631
2024-01-02 23:00:00,12347.5,1773.17,6160.18,1266.65,14562.99,3331.57,8023.32,1429.34,48894.7,2024,1,2,23,1,50956.26,47870.22,50589.84583333333,3123.0967178370347
2024-01-03 00:00:00,11909.31,1675.46,6065.86,1153.05,13694.59,3198.66,7585.57,1364.36,46646.87,2024,1,3,0,2,48894.7,46594.65,50592.02166666667,3120.209138473647
2024-01-03 01:00:00,11634.19,1632.18,6090.89,1176.78,13121.7,3104.37,7265.69,1299.86,45325.66,2024,1,3,1,2,46646.87,45765.06,50573.713333333326,3150.9017215279027
2024-01-03 02:00:00,11418.28,1626.73,6052.95,1223.62,12734.45,2984.92,7108.66,1281.34,44430.95,2024,1,3,2,2,45325.66,45357.84,50535.09291666667,3222.479385792298
2024-01-03 03:00:00,11347.98,1622.4,6148.15,1198.11,12717.96,2865.63,7054.93,1275.05,44230.2,2024,1,3,3,2,44430.95,45341.96,50488.76958333334,3307.252457357888
2024-01-03 04:00:00,11361.37,1633.07,6254.29,1185.01,12735.3,2879.46,7091.59,1278.37,44418.46,2024,1,3,4,2,44230.2,45572.24,50440.69541666668,3389.1967822697484
2024-01-03 05:00:00,11553.8,1671.64,6259.94,1229.31,13071.45,2888.78,7266.89,1297.75,45239.56,2024,1,3,5,2,44418.46,46558.29,50385.74833333333,3464.724962431034
2024-01-03 06:00:00,12080.32,1769.61,6355.3,1275.39,13778.17,3009.55,7686.37,1341.15,47295.85,2024,1,3,6,2,45239.56,48861.01,50320.53333333333,3509.1180070950622
2024-01-03 07:00:00,12754.4,1891.89,6307.72,1344.05,14685.97,3252.08,8273.37,1408.36,49917.83,2024,1,3,7,2,47295.85,51665.01,50247.73416666667,3498.1191874254428
2024-01-03 08:00:00,13196.85,1939.15,6326.34,1388.47,15344.21,3383.35,8606.26,1447.23,51631.86,2024,1,3,8,2,49917.83,53450.53,50171.956249999996,3445.017565966209
2024-01-03 09:00:00,13368.72,1977.27,6327.03,1366.32,15547.08,3391.39,8695.09,1433.15,52106.05,2024,1,3,9,2,51631.86,53800.71,50101.34541666667,3384.2381596389355
2024-01-03 10:00:00,13487.66,1959.16,6464.19,1435.92,15516.22,3454.45,8666.36,1424.25,52408.21,2024,1,3,10,2,52106.05,54108.82,50030.486666666664,3313.751524084297
2024-01-03 11:00:00,13361.12,1895.87,6466.08,1403.15,15269.34,3406.18,8621.34,1421.91,51844.97,2024,1,3,11,2,52408.21,53264.97,49971.32,3265.819568381891
2024-01-03 12:00:00,13007.47,1833.0,6450.53,1354.72,14669.03,3397.79,8557.27,1392.78,50662.58,2024,1,3,12,2,51844.97,52094.97,49911.637083333335,3238.294930282156
2024-01-03 13:00:00,12718.42,1766.82,6433.49,1319.96,14084.51,3337.87,8570.52,1383.99,49615.58,2024,1,3,13,2,50662.58,51284.53,49842.0975,3225.4254860853825
2024-01-03 14:00:00,12563.27,1692.86,6368.98,1289.61,13460.33,3359.36,8481.32,1337.86,48553.6,2024,1,3,14,2,49615.58,51349.73,49725.59208333333,3219.0938894312685
